depth	min	max	median	mean
124	597	1431	973	986
125	606	1440	982	996
126	615	1452	993	1006
127	625	1465	1003	1016
128	636	1477	1014	1026
129	643	1490	1025	1036
130	651	1504	1035	1047
131	658	1516	1044	1057
132	670	1526	1055	1067
133	680	1540	1066	1077
134	687	1554	1075	1087
135	693	1565	1085	1097
136	702	1574	1095	1107
137	709	1584	1103	1117
138	718	1596	1113	1127
139	727	1606	1123	1137
140	735	1618	1133	1147
141	745	1627	1144	1157
142	755	1641	1153	1167
143	766	1655	1164	1177
144	772	1667	1174	1187
145	780	1684	1183	1197
146	789	1692	1193	1207
147	797	1707	1203	1217
148	806	1717	1212	1227
149	811	1733	1221	1236
150	818	1739	1231	1246
151	825	1753	1241	1256
152	836	1762	1251	1266
153	846	1774	1261	1276
154	857	1785	1271	1286
155	867	1799	1282	1295
156	874	1809	1293	1305
157	882	1820	1303	1315
158	890	1828	1313	1325
159	896	1837	1323	1334
160	902	1850	1333	1344
161	912	1866	1343	1354
162	920	1879	1354	1364
163	928	1893	1363	1374
164	935	1906	1372	1384
165	943	1923	1382	1394
166	953	1932	1390	1404
167	961	1942	1400	1414
168	970	1954	1409	1424
169	979	1969	1419	1434
170	987	1981	1429	1443
171	996	1989	1439	1453
172	1004	1999	1448	1463
173	1013	2013	1460	1473
174	1022	2022	1469	1482
175	1031	2033	1480	1492
176	1042	2046	1490	1502
177	1050	2057	1500	1512
178	1058	2068	1510	1521
179	1064	2079	1519	1531
180	1072	2091	1528	1541
181	1080	2101	1538	1551
182	1091	2111	1548	1561
183	1096	2119	1558	1571
184	1105	2133	1568	1581
185	1112	2145	1580	1591
186	1124	2156	1589	1601
187	1133	2165	1597	1611
188	1140	2175	1609	1621
189	1148	2188	1620	1631
190	1154	2200	1630	1641
191	1163	2211	1641	1651
192	1172	2218	1651	1661
193	1181	2231	1660	1671
194	1189	2246	1669	1681
195	1197	2259	1679	1691
196	1204	2271	1689	1701
197	1214	2282	1699	1711
198	1223	2293	1706	1720
199	1230	2303	1717	1730
200	1238	2314	1727	1740
201	1249	2324	1736	1750
202	1258	2332	1746	1760
203	1269	2341	1756	1770
204	1279	2351	1765	1780
205	1289	2361	1774	1789
206	1295	2369	1784	1799
207	1306	2381	1792	1809
208	1316	2392	1802	1819
209	1323	2403	1814	1829
210	1332	2414	1823	1839
211	1340	2426	1833	1849
212	1346	2435	1842	1859
213	1353	2445	1852	1868
214	1361	2454	1860	1878
215	1369	2467	1870	1888
216	1381	2476	1880	1898
217	1391	2487	1890	1907
218	1398	2498	1900	1917
219	1408	2509	1910	1927
220	1413	2523	1921	1937
221	1422	2530	1932	1947
222	1434	2542	1941	1957
223	1446	2551	1952	1967
224	1456	2564	1961	1977
225	1465	2574	1971	1987
226	1473	2587	1980	1997
227	1483	2600	1990	2006
228	1491	2612	2000	2016
229	1500	2621	2010	2026
230	1509	2633	2020	2036
231	1518	2641	2031	2046
232	1523	2651	2040	2056
233	1531	2665	2051	2066
234	1538	2678	2060	2075
235	1547	2688	2071	2085
236	1548	2689	2071	2086
237	1549	2690	2072	2086
238	1549	2690	2073	2087
