CoreID,Sample,Red,Green,Blue,l,a,b
SECANELLA_a,139.955,171,128,92,77.884,6.487,19.3
SECANELLA_a,140.025,165,124,90,76.87,6.383,18.6
SECANELLA_a,140.095,166,125,90,77.104,6.165,18.997
SECANELLA_a,140.165,170,128,94,77.848,6.556,18.227
SECANELLA_a,140.235,168,126,93,77.385,6.805,17.943
SECANELLA_a,140.305,169,126,91,77.421,6.735,19.024
SECANELLA_a,140.375,171,128,91,77.881,6.303,19.807
SECANELLA_a,140.446,167,124,89,76.951,6.801,19.258
SECANELLA_a,140.516,168,125,90,77.187,6.768,19.14
SECANELLA_a,140.586,168,126,89,77.375,6.065,19.978
SECANELLA_a,140.656,169,127,92,77.613,6.404,18.839
SECANELLA_a,140.726,168,126,91,77.38,6.435,18.953
SECANELLA_a,140.796,173,130,94,78.344,6.425,19.073
SECANELLA_a,140.866,175,133,96,78.985,5.865,19.165
SECANELLA_a,140.936,171,129,93,78.074,6.16,19.116
SECANELLA_a,141.006,168,126,90,77.377,6.25,19.463
SECANELLA_a,141.076,173,130,93,78.342,6.243,19.572
SECANELLA_a,141.146,177,133,96,79.065,6.446,19.302
SECANELLA_a,141.216,175,131,94,78.611,6.506,19.527
SECANELLA_a,141.286,170,127,91,77.652,6.518,19.416
SECANELLA_a,141.356,170,129,93,78.033,5.863,19.046
SECANELLA_a,141.426,176,134,98,79.213,6.017,18.57
SECANELLA_a,141.496,177,134,98,79.253,6.306,18.638
SECANELLA_a,141.566,173,130,94,78.344,6.425,19.073
SECANELLA_a,141.636,167,125,90,77.145,6.467,19.069
SECANELLA_a,141.706,170,129,93,78.033,5.863,19.046
SECANELLA_a,141.776,177,136,101,79.624,5.851,17.818
SECANELLA_a,141.846,175,134,99,79.176,5.905,18.019
SECANELLA_a,141.917,173,131,96,78.535,6.282,18.4
SECANELLA_a,141.987,169,128,93,77.805,6.075,18.656
SECANELLA_a,142.057,163,123,90,76.594,6.298,18.129
SECANELLA_a,142.127,162,122,88,76.353,6.141,18.76
SECANELLA_a,142.197,167,126,91,77.338,6.135,18.882
SECANELLA_a,142.267,170,128,93,77.845,6.373,18.727
SECANELLA_a,142.337,172,131,95,78.493,5.808,18.823
SECANELLA_a,142.407,170,129,93,78.033,5.863,19.046
SECANELLA_a,142.477,168,127,92,77.572,6.105,18.768
SECANELLA_a,142.547,168,125,90,77.187,6.768,19.14
SECANELLA_a,142.617,168,125,90,77.187,6.768,19.14
SECANELLA_a,142.687,172,130,93,78.302,5.949,19.503
SECANELLA_a,142.757,174,133,96,78.945,5.573,19.096
SECANELLA_a,142.827,174,132,96,78.761,6.073,18.783
SECANELLA_a,142.897,175,133,97,78.987,6.045,18.676
SECANELLA_a,142.967,174,133,97,78.947,5.753,18.607
SECANELLA_a,143.037,173,132,96,78.721,5.78,18.714
SECANELLA_a,143.107,171,129,92,78.072,5.977,19.619
SECANELLA_a,143.177,165,124,89,76.868,6.196,19.114
SECANELLA_a,143.247,165,124,89,76.868,6.196,19.114
SECANELLA_a,143.317,170,128,93,77.845,6.373,18.727
SECANELLA_a,143.388,172,130,96,78.309,6.494,18.015
SECANELLA_a,143.458,177,135,99,79.437,5.989,18.465
SECANELLA_a,143.528,175,134,98,79.173,5.727,18.501
SECANELLA_a,143.598,171,129,93,78.074,6.16,19.116
SECANELLA_a,143.668,168,126,92,77.382,6.62,18.446
SECANELLA_a,143.738,166,124,89,76.909,6.499,19.186
SECANELLA_a,143.808,169,126,91,77.421,6.735,19.024
SECANELLA_a,143.878,162,121,88,76.158,6.67,18.429
SECANELLA_a,143.948,162,122,89,76.355,6.33,18.241
SECANELLA_a,144.018,161,121,88,76.115,6.363,18.356
SECANELLA_a,144.088,164,123,90,76.636,6.603,18.201
SECANELLA_a,144.158,163,123,89,76.591,6.11,18.643
SECANELLA_a,144.228,163,123,89,76.591,6.11,18.643
SECANELLA_a,144.298,165,125,91,77.065,6.049,18.415
SECANELLA_a,144.368,168,128,94,77.766,5.961,18.086
SECANELLA_a,144.438,168,126,93,77.385,6.805,17.943
SECANELLA_a,144.508,175,132,94,78.796,6.005,19.841
SECANELLA_a,144.578,176,132,95,78.838,6.476,19.414
